scenario,subsystem,year,month,demand_mw
inferior,NORTE,2025,1,7683.487104415934
inferior,NORTE,2025,2,7955.796732151917
inferior,NORTE,2025,3,7728.52454420423
inferior,NORTE,2025,4,7848.323950281899
inferior,NORTE,2025,5,7946.839344435328
inferior,NORTE,2025,6,8273.932567302296
inferior,NORTE,2025,7,8285.450514181703
inferior,NORTE,2025,8,8642.258558022357
inferior,NORTE,2025,9,9007.057027250119
inferior,NORTE,2025,10,8868.820256728553
inferior,NORTE,2025,11,8902.16105685792
inferior,NORTE,2025,12,8592.733915124596
inferior,NORTE,2026,1,7906.308230443995
inferior,NORTE,2026,2,8186.514837384323
inferior,NORTE,2026,3,7952.651755986152
inferior,NORTE,2026,4,8075.925344840072
inferior,NORTE,2026,5,8177.297685423951
inferior,NORTE,2026,6,8513.87661175406
inferior,NORTE,2026,7,8525.728579092969
inferior,NORTE,2026,8,8892.884056205005
inferior,NORTE,2026,9,9268.261681040372
inferior,NORTE,2026,10,9126.016044173684
inferior,NORTE,2026,11,9160.3237275068
inferior,NORTE,2026,12,8841.923198663208
inferior,NORTE,2027,1,8135.591169126871
inferior,NORTE,2027,2,8423.92376766847
inferior,NORTE,2027,3,8183.278656909752
inferior,NORTE,2027,4,8310.127179840436
inferior,NORTE,2027,5,8414.439318301245
inferior,NORTE,2027,6,8760.77903349493
inferior,NORTE,2027,7,8772.974707886666
inferior,NORTE,2027,8,9150.777693834947
inferior,NORTE,2027,9,9537.041269790543
inferior,NORTE,2027,10,9390.67050945472
inferior,NORTE,2027,11,9425.973115604495
inferior,NORTE,2027,12,9098.33897142444
inferior,NORTE,2028,1,8371.52331303155
inferior,NORTE,2028,2,8668.217556930853
inferior,NORTE,2028,3,8420.593737960133
inferior,NORTE,2028,4,8551.120868055808
inferior,NORTE,2028,5,8658.45805853198
inferior,NORTE,2028,6,9014.84162546628
inferior,NORTE,2028,7,9027.390974415377
inferior,NORTE,2028,8,9416.15024695616
inferior,NORTE,2028,9,9813.615466614468
inferior,NORTE,2028,10,9662.999954228906
inferior,NORTE,2028,11,9699.326335957025
inferior,NORTE,2028,12,9362.190801595749
inferior,NORDESTE,2025,1,13371.451318117231
inferior,NORDESTE,2025,2,14076.765687771665
inferior,NORDESTE,2025,3,13388.776130948914
inferior,NORDESTE,2025,4,13528.132361792084
inferior,NORDESTE,2025,5,13099.76210602714
inferior,NORDESTE,2025,6,13322.027263505279
inferior,NORDESTE,2025,7,12914.432219159911
inferior,NORDESTE,2025,8,13203.65001979242
inferior,NORDESTE,2025,9,14033.430742069322
inferior,NORDESTE,2025,10,14106.423156214403
inferior,NORDESTE,2025,11,14732.661530306123
inferior,NORDESTE,2025,12,14382.56301605343
inferior,NORDESTE,2026,1,13759.22340634263
inferior,NORDESTE,2026,2,14484.991892717046
inferior,NORDESTE,2026,3,13777.050638746434
inferior,NORDESTE,2026,4,13920.448200284054
inferior,NORDESTE,2026,5,13479.655207101925
inferior,NORDESTE,2026,6,13708.36605414693
inferior,NORDESTE,2026,7,13288.950753515544
inferior,NORDESTE,2026,8,13586.555870366397
inferior,NORDESTE,2026,9,14440.40023358933
inferior,NORDESTE,2026,10,14515.509427744622
inferior,NORDESTE,2026,11,15159.908714684998
inferior,NORDESTE,2026,12,14799.657343518978
inferior,NORDESTE,2027,1,14158.240885126566
inferior,NORDESTE,2027,2,14905.056657605837
inferior,NORDESTE,2027,3,14176.585107270079
inferior,NORDESTE,2027,4,14324.141198092291
inferior,NORDESTE,2027,5,13870.565208107879
inferior,NORDESTE,2027,6,14105.908669717192
inferior,NORDESTE,2027,7,13674.330325367497
inferior,NORDESTE,2027,8,13980.565990607021
inferior,NORDESTE,2027,9,14859.17184036342
inferior,NORDESTE,2027,10,14936.459201149215
inferior,NORDESTE,2027,11,15599.546067410862
inferior,NORDESTE,2027,12,15228.847406481029
inferior,NORDESTE,2028,1,14568.829870795234
inferior,NORDESTE,2028,2,15337.303300676405
inferior,NORDESTE,2028,3,14587.70607538091
inferior,NORDESTE,2028,4,14739.541292836968
inferior,NORDESTE,2028,5,14272.811599143006
inferior,NORDESTE,2028,6,14514.98002113899
inferior,NORDESTE,2028,7,14070.885904803152
inferior,NORDESTE,2028,8,14386.002404334624
inferior,NORDESTE,2028,9,15290.087823733957
inferior,NORDESTE,2028,10,15369.616517982544
inferior,NORDESTE,2028,11,16051.932903365774
inferior,NORDESTE,2028,12,15670.483981268977
inferior,SUDESTE,2025,1,45219.96715254713
inferior,SUDESTE,2025,2,48975.91212866936
inferior,SUDESTE,2025,3,47318.27334004549
inferior,SUDESTE,2025,4,47361.845317652245
inferior,SUDESTE,2025,5,44417.48835878441
inferior,SUDESTE,2025,6,45048.998678642245
inferior,SUDESTE,2025,7,43677.87387598043
inferior,SUDESTE,2025,8,45055.133863689516
inferior,SUDESTE,2025,9,47884.412634237655
inferior,SUDESTE,2025,10,48089.36915206708
inferior,SUDESTE,2025,11,48795.96946360953
inferior,SUDESTE,2025,12,47924.96169942807
inferior,SUDESTE,2026,1,46395.686298513356
inferior,SUDESTE,2026,2,50249.285844014754
inferior,SUDESTE,2026,3,48548.54844688667
inferior,SUDESTE,2026,4,48593.2532959112
