state,subsystem,year,month,MWh
Alagoas,Nordeste,2018,1,363862.312
Bahia,Nordeste,2018,1,2094036.857
Ceara,Nordeste,2018,1,935126.18
Maranhao,Nordeste,2018,1,565403.955
Pernambuco,Nordeste,2018,1,1167829.48
Piaui,Nordeste,2018,1,287938.29
Rio Grande do Norte,Nordeste,2018,1,496448.0
Sergipe,Nordeste,2018,1,334457.692
paraiba,Nordeste,2018,1,473698.171
Acre,Norte,2018,1,75959.61973612741
Amapa,Norte,2018,1,88957.586
Amazonas,Norte,2018,1,431254.1640360471
Para,Norte,2018,1,1578578.809523554
Rondonia,Norte,2018,1,233701.81370427136
Tocantins,Norte,2018,1,172661.356
Distrito Federal,Sudeste/Centro-Oeste,2018,1,515061.268
Espirito Santo,Sudeste/Centro-Oeste,2018,1,859595.0
Goias,Sudeste/Centro-Oeste,2018,1,1241869.0
Mato Grosso do Sul,Sudeste/Centro-Oeste,2018,1,493201.95
Mato Grosso do Sul,Sudeste/Centro-Oeste,2018,1,671485.75
Minas Gerais,Sudeste/Centro-Oeste,2018,1,4716736.561
Rio de Janeiro,Sudeste/Centro-Oeste,2018,1,3614646.254
Sao Paulo,Sudeste/Centro-Oeste,2018,1,10882702.16
Parana,Sul,2018,1,2597856.945
Rio Grande do Sul,Sul,2018,1,2830644.651
Santa Catarina,Sul,2018,1,2115002.519
Alagoas,Nordeste,2018,2,304520.465
Bahia,Nordeste,2018,2,2000892.385
Ceara,Nordeste,2018,2,892617.97
Maranhao,Nordeste,2018,2,519875.308
Pernambuco,Nordeste,2018,2,1159521.5
Piaui,Nordeste,2018,2,261118.52
Rio Grande do Norte,Nordeste,2018,2,461626.0
Sergipe,Nordeste,2018,2,315118.962
paraiba,Nordeste,2018,2,442042.852
Acre,Norte,2018,2,73953.82843808396
Amapa,Norte,2018,2,79556.191
Amazonas,Norte,2018,2,409944.4285121673
Para,Norte,2018,2,1457308.3196852591
Rondonia,Norte,2018,2,228869.6443644896
Tocantins,Norte,2018,2,170131.807
Distrito Federal,Sudeste/Centro-Oeste,2018,2,516046.624
Espirito Santo,Sudeste/Centro-Oeste,2018,2,842803.0
Goias,Sudeste/Centro-Oeste,2018,2,1210057.0
Mato Grosso do Sul,Sudeste/Centro-Oeste,2018,2,486456.526
Mato Grosso do Sul,Sudeste/Centro-Oeste,2018,2,692541.685
Minas Gerais,Sudeste/Centro-Oeste,2018,2,4551117.417
Rio de Janeiro,Sudeste/Centro-Oeste,2018,2,3368689.094
Sao Paulo,Sudeste/Centro-Oeste,2018,2,10931881.534
Parana,Sul,2018,2,2641400.336
Rio Grande do Sul,Sul,2018,2,2751006.281
Santa Catarina,Sul,2018,2,2207483.036
Alagoas,Nordeste,2018,3,322656.165
Bahia,Nordeste,2018,3,2075772.416
Ceara,Nordeste,2018,3,897299.787
Maranhao,Nordeste,2018,3,559924.1
Pernambuco,Nordeste,2018,3,1190835.25
Piaui,Nordeste,2018,3,272640.68
Rio Grande do Norte,Nordeste,2018,3,482261.0
Sergipe,Nordeste,2018,3,327619.553
paraiba,Nordeste,2018,3,458712.21
Acre,Norte,2018,3,71594.6035387958
Amapa,Norte,2018,3,82247.926
Amazonas,Norte,2018,3,473637.3218227089
Para,Norte,2018,3,1576159.9536506706
Rondonia,Norte,2018,3,241370.42998782467
Tocantins,Norte,2018,3,185249.099
Distrito Federal,Sudeste/Centro-Oeste,2018,3,498281.169
Espirito Santo,Sudeste/Centro-Oeste,2018,3,932746.0
Goias,Sudeste/Centro-Oeste,2018,3,1276484.0
Mato Grosso do Sul,Sudeste/Centro-Oeste,2018,3,514369.295
Mato Grosso do Sul,Sudeste/Centro-Oeste,2018,3,742591.316
Minas Gerais,Sudeste/Centro-Oeste,2018,3,4688540.473
Rio de Janeiro,Sudeste/Centro-Oeste,2018,3,3739432.834
Sao Paulo,Sudeste/Centro-Oeste,2018,3,11487908.288
Parana,Sul,2018,3,2773964.593
Rio Grande do Sul,Sul,2018,3,2815809.502
Santa Catarina,Sul,2018,3,2212759.548
Alagoas,Nordeste,2018,4,411156.516
Bahia,Nordeste,2018,4,2098355.7
Ceara,Nordeste,2018,4,931559.268
Maranhao,Nordeste,2018,4,560141.048
Pernambuco,Nordeste,2018,4,1171049.07
Piaui,Nordeste,2018,4,270380.79
Rio Grande do Norte,Nordeste,2018,4,461048.0
Sergipe,Nordeste,2018,4,321357.452
paraiba,Nordeste,2018,4,443056.413
Acre,Norte,2018,4,69510.70934094231
Amapa,Norte,2018,4,81706.747
Amazonas,Norte,2018,4,456514.87577213236
Para,Norte,2018,4,1400029.6660041567
Rondonia,Norte,2018,4,242859.66088276875
Tocantins,Norte,2018,4,184183.412
Distrito Federal,Sudeste/Centro-Oeste,2018,4,531859.889
Espirito Santo,Sudeste/Centro-Oeste,2018,4,840530.0
Goias,Sudeste/Centro-Oeste,2018,4,1315064.72
Mato Grosso do Sul,Sudeste/Centro-Oeste,2018,4,527987.431
Mato Grosso do Sul,Sudeste/Centro-Oeste,2018,4,711946.021
Minas Gerais,Sudeste/Centro-Oeste,2018,4,4771307.976
Rio de Janeiro,Sudeste/Centro-Oeste,2018,4,3625511.568
Sao Paulo,Sudeste/Centro-Oeste,2018,4,11492422.249
Parana,Sul,2018,4,2800067.564
Rio Grande do Sul,Sul,2018,4,2604430.878
Santa Catarina,Sul,2018,4,2152420.598
Alagoas,Nordeste,2018,5,410880.445
Bahia,Nordeste,2018,5,2100432.789
Ceara,Nordeste,2018,5,949610.026
Maranhao,Nordeste,2018,5,570332.836
Pernambuco,Nordeste,2018,5,1159272.15
Piaui,Nordeste,2018,5,277263.69
Rio Grande do Norte,Nordeste,2018,5,446750.0
Sergipe,Nordeste,2018,5,307917.717
paraiba,Nordeste,2018,5,438020.313
Acre,Norte,2018,5,76006.95686503379
Amapa,Norte,2018,5,84407.184
Amazonas,Norte,2018,5,465190.76054897433
