year_total,subsystem,annual_demand_avg_mw,annual_gen_avg_mw,annual_avg_gap_mw,annual_scaled_gap_mw
2020,NORDESTE,9260.032792449814,5790.862945974437,-3469.169846475379,-3469.169846475379
2020,NORTE,3612.133098559099,9538.59197610797,5926.458877548871,5926.458877548871
2020,PARAGUAI,0.0,6839.491610054124,6839.491610054124,6839.491610054124
2020,SUDESTE,30972.665237770107,26330.37418596563,-4642.291051804473,-4642.291051804473
2020,SUL,10097.02789281841,5438.095295019929,-4658.93259779848,-4658.93259779848
2020,TOTAL,53941.859021597425,53937.41601312209,-4.44300847533638,-4.44300847533638
2021,NORDESTE,9940.931162512801,6028.031017150163,-3912.9001453626365,-3912.9001453626365
2021,NORTE,3846.8226677867383,11138.97834400815,7292.155676221412,7292.155676221412
2021,PARAGUAI,0.0,5749.265947618248,5749.265947618248,5749.265947618248
2021,SUDESTE,32711.89021205757,24314.521523701784,-8397.36868835579,-8397.36868835579
2021,SUL,10595.587506406011,6976.411185013974,-3619.1763213920362,-3619.1763213920362
2021,TOTAL,57095.23154876312,54207.20801749232,-2888.0235312708014,-2888.0235312708014
2022,NORDESTE,10085.523341171702,5518.4430811345255,-4567.080260037175,-4567.080260037175
2022,NORTE,4010.1636213370984,10709.134317937682,6698.970696600583,6698.970696600583
2022,PARAGUAI,0.0,5983.263049981066,5983.263049981066,5983.263049981066
2022,SUDESTE,32965.628709473945,22579.41470786717,-10386.21400160677,-10386.21400160677
2022,SUL,10818.217842652863,8797.88539191415,-2020.3324507387142,-2020.3324507387142
2022,TOTAL,57879.53351463561,53588.1405488346,-4291.392965801012,-4291.392965801012
