subsystem,year,month,MWh,demand_avg_mw,demand_scaled_mw,month_start,gen_mwh,hours_in_month,gen_avg_mw,avg_gap_mw,scaled_gap_mw,year_total
NORDESTE,2020.0,1.0,7128278.183,9581.019063172043,9581.019063172043,2020-01-01,3838589.908,744.0,5159.395037634408,-4421.624025537635,-4421.624025537635,2020
NORTE,2020.0,1.0,2649733.066,3561.469174731183,3561.469174731183,2020-01-01,8221377.286,744.0,11050.238287634409,7488.769112903226,7488.769112903226,2020
PARAGUAI,2020.0,1.0,0.0,0.0,0.0,2020-01-01,6429254.733,744.0,8641.471415322581,8641.471415322581,8641.471415322581,2020
SUDESTE,2020.0,1.0,23327228.998999998,31353.80241801075,31353.80241801075,2020-01-01,23308539.3045,744.0,31328.681860887096,-25.12055712365327,-25.12055712365327,2020
SUL,2020.0,1.0,7980474.731000001,10726.44453091398,10726.44453091398,2020-01-01,4431379.859,744.0,5956.1557244623655,-4770.288806451614,-4770.288806451614,2020
TOTAL,,,,55222.73518682796,,2020-01-01,,,62135.942325940865,6913.207139112907,6913.207139112907,2020
NORDESTE,2020.0,2.0,6811402.503,9786.49784913793,9786.49784913793,2020-02-01,3153583.015,696.0,4531.010079022989,-5255.487770114941,-5255.487770114941,2020
NORTE,2020.0,2.0,2593725.926,3726.6177097701147,3726.6177097701147,2020-02-01,10269336.171,696.0,14754.793349137932,11028.175639367817,11028.175639367817,2020
PARAGUAI,2020.0,2.0,0.0,0.0,0.0,2020-02-01,5646803.395,696.0,8113.22326867816,8113.22326867816,8113.22326867816,2020
SUDESTE,2020.0,2.0,23229375.468000002,33375.53946551724,33375.53946551724,2020-02-01,21300196.153,696.0,30603.73010488506,-2771.809360632182,-2771.809360632182,2020
SUL,2020.0,2.0,8120195.148,11666.947051724139,11666.947051724139,2020-02-01,2824559.953,696.0,4058.27579454023,-7608.671257183909,-7608.671257183909,2020
TOTAL,,,,58555.60207614943,,2020-02-01,,,62061.03259626437,3505.4305201149455,3505.4305201149455,2020
NORDESTE,2020.0,3.0,6943560.390000001,9332.74245967742,9332.74245967742,2020-03-01,3218350.072,744.0,4325.739344086021,-5007.0031155913985,-5007.0031155913985,2020
NORTE,2020.0,3.0,2556863.6199999996,3436.644650537634,3436.644650537634,2020-03-01,12021194.704,744.0,16157.51976344086,12720.875112903226,12720.875112903226,2020
PARAGUAI,2020.0,3.0,0.0,0.0,0.0,2020-03-01,5294793.41,744.0,7116.657809139785,7116.657809139785,7116.657809139785,2020
SUDESTE,2020.0,3.0,23441315.183,31507.14406317204,31507.14406317204,2020-03-01,21959524.397,744.0,29515.489780913977,-1991.6542822580632,-1991.6542822580632,2020
SUL,2020.0,3.0,7950412.458000001,10686.038250000001,10686.038250000001,2020-03-01,2433971.639,744.0,3271.46725672043,-7414.570993279571,-7414.570993279571,2020
TOTAL,,,,54962.56942338709,,2020-03-01,,,60386.873954301074,5424.304530913979,5424.304530913979,2020
NORDESTE,2020.0,4.0,6365846.896,8841.454022222222,8841.454022222222,2020-04-01,3551641.203,720.0,4932.835004166667,-3908.619018055555,-3908.619018055555,2020
NORTE,2020.0,4.0,2386331.628,3314.3494833333334,3314.3494833333334,2020-04-01,8580116.4,720.0,11916.828333333335,8602.478850000001,8602.478850000001,2020
